"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 19 13:33:52 CST 2021","Fri Mar 19 13:33:53 CST 2021","547","test","test_api","","","","创建日程-简单日程",""
"passed","Fri Mar 19 13:33:42 CST 2021","Fri Mar 19 13:33:43 CST 2021","614","test","test_api","","","","创建可交互式测试群——群2",""
"passed","Fri Mar 19 13:32:41 CST 2021","Fri Mar 19 13:32:41 CST 2021","77","test","test_api","","","","获取部门详情-必填缺失",""
"passed","Fri Mar 19 13:33:00 CST 2021","Fri Mar 19 13:33:01 CST 2021","521","test","test_api","","","","解散群",""
"passed","Fri Mar 19 13:33:07 CST 2021","Fri Mar 19 13:33:07 CST 2021","396","test","test_api","","","","创建一个普通群",""
"passed","Fri Mar 19 13:32:59 CST 2021","Fri Mar 19 13:32:59 CST 2021","245","test","test_api","","","","添加群成员-2",""
"passed","Fri Mar 19 13:32:40 CST 2021","Fri Mar 19 13:32:40 CST 2021","74","test","test_api","","","","更新部门 - 参数缺失",""
"passed","Fri Mar 19 13:34:13 CST 2021","Fri Mar 19 13:34:13 CST 2021","259","test","test_api","","","","应用7中推送——combox-样式2",""
"passed","Fri Mar 19 13:32:53 CST 2021","Fri Mar 19 13:32:54 CST 2021","266","test","test_api","","","","获取群信息",""
"passed","Fri Mar 19 13:33:25 CST 2021","Fri Mar 19 13:33:26 CST 2021","514","test","test_api","","","","禁用公众号1",""
"passed","Fri Mar 19 13:32:53 CST 2021","Fri Mar 19 13:32:53 CST 2021","272","test","test_api","","","","修改群信息",""
"passed","Fri Mar 19 13:32:44 CST 2021","Fri Mar 19 13:32:44 CST 2021","260","test","test_api","","","","获取部门成员 - 批量创建前",""
"passed","Fri Mar 19 13:32:37 CST 2021","Fri Mar 19 13:32:38 CST 2021","522","test","test_api","","","","创建部门",""
"passed","Fri Mar 19 13:33:47 CST 2021","Fri Mar 19 13:33:47 CST 2021","140","test","test_api","","","","查看创建了2个频道后的状况",""
"passed","Fri Mar 19 13:34:10 CST 2021","Fri Mar 19 13:34:10 CST 2021","263","test","test_api","","","","应用7中推送——非常多文字的布局测试",""
"passed","Fri Mar 19 13:33:51 CST 2021","Fri Mar 19 13:33:51 CST 2021","405","test","test_api","","","","发送公众号接口 - 9个附件",""
"passed","Fri Mar 19 13:34:14 CST 2021","Fri Mar 19 13:34:14 CST 2021","277","test","test_api","","","","应用7中推送——complexpicker",""
"passed","Fri Mar 19 13:32:38 CST 2021","Fri Mar 19 13:32:38 CST 2021","72","test","test_api","","","","创建部门 - 必填缺失",""
"passed","Fri Mar 19 13:34:11 CST 2021","Fri Mar 19 13:34:11 CST 2021","265","test","test_api","","","","应用7中推送——radio-样式2",""
"passed","Fri Mar 19 13:33:02 CST 2021","Fri Mar 19 13:33:02 CST 2021","361","test","test_api","","","","测试部门删除",""
"passed","Fri Mar 19 13:33:59 CST 2021","Fri Mar 19 13:34:00 CST 2021","487","test","test_api","","","","简单日程2-重要日程",""
"passed","Fri Mar 19 13:33:51 CST 2021","Fri Mar 19 13:33:51 CST 2021","408","test","test_api","","","","发送公众号接口 - attachments,content",""
"failed","Fri Mar 19 13:32:47 CST 2021","Fri Mar 19 13:32:47 CST 2021","253","test","test_api","","","","获取成员消息未读数",""
"passed","Fri Mar 19 13:32:54 CST 2021","Fri Mar 19 13:32:55 CST 2021","151","test","test_api","","","","添加群成员 - 群id没给",""
"passed","Fri Mar 19 13:33:43 CST 2021","Fri Mar 19 13:33:44 CST 2021","718","test","test_api","","","","创建可交互式测试群——群3",""
"passed","Fri Mar 19 13:34:13 CST 2021","Fri Mar 19 13:34:14 CST 2021","250","test","test_api","","","","应用7中推送——link-样式2",""
"failed","Fri Mar 19 13:33:47 CST 2021","Fri Mar 19 13:33:47 CST 2021","82","test","test_api","","","","将消息频道2与应用8的app结合",""
"passed","Fri Mar 19 13:33:48 CST 2021","Fri Mar 19 13:33:49 CST 2021","392","test","test_api","","","","发送一条新建的频道消息（应用7）",""
"passed","Fri Mar 19 13:32:39 CST 2021","Fri Mar 19 13:32:40 CST 2021","216","test","test_api","","","","更新部门",""
"passed","Fri Mar 19 13:34:07 CST 2021","Fri Mar 19 13:34:08 CST 2021","814","test","test_api","","","","修改日程-简单日程2-修改为需要确认",""
"passed","Fri Mar 19 13:33:28 CST 2021","Fri Mar 19 13:33:28 CST 2021","404","test","test_api","","","","删除公众号3",""
"passed","Fri Mar 19 13:33:44 CST 2021","Fri Mar 19 13:33:44 CST 2021","276","test","test_api","","","","发送可交互式消息-type：complexpicker",""
"passed","Fri Mar 19 13:32:54 CST 2021","Fri Mar 19 13:32:54 CST 2021","215","test","test_api","","","","获取群成员",""
"passed","Fri Mar 19 13:33:27 CST 2021","Fri Mar 19 13:33:28 CST 2021","616","test","test_api","","","","禁用公众号3",""
"failed","Fri Mar 19 13:33:47 CST 2021","Fri Mar 19 13:33:47 CST 2021","102","test","test_api","","","","将消息频道2与应用7的app结合",""
"passed","Fri Mar 19 13:32:40 CST 2021","Fri Mar 19 13:32:41 CST 2021","284","test","test_api","","","","递归获取所有子部门列表-递归所有",""
"passed","Fri Mar 19 13:32:41 CST 2021","Fri Mar 19 13:32:42 CST 2021","723","test","test_api","","","","创建成员",""
"passed","Fri Mar 19 13:33:34 CST 2021","Fri Mar 19 13:33:34 CST 2021","405","test","test_api","","","","创建部门可交互式部门2",""
"passed","Fri Mar 19 13:32:47 CST 2021","Fri Mar 19 13:32:48 CST 2021","326","test","test_api","","","","查询批量创建产生的部门did",""
"passed","Fri Mar 19 13:33:55 CST 2021","Fri Mar 19 13:33:56 CST 2021","617","test","test_api","","","","创建日程-简单日程-提醒我与参与人参与(多个)",""
"passed","Fri Mar 19 13:34:03 CST 2021","Fri Mar 19 13:34:04 CST 2021","715","test","test_api","","","","修改日程-简单日程2-减少参与人",""
"passed","Fri Mar 19 13:33:24 CST 2021","Fri Mar 19 13:33:25 CST 2021","192","test","test_api","","","","获取pytest_test3的配置",""
"broken","Fri Mar 19 13:34:17 CST 2021","Fri Mar 19 13:34:17 CST 2021","142","test","test_api","","","","应用属性配置",""
"passed","Fri Mar 19 13:33:26 CST 2021","Fri Mar 19 13:33:27 CST 2021","535","test","test_api","","","","禁用公众号2",""
"passed","Fri Mar 19 13:34:05 CST 2021","Fri Mar 19 13:34:06 CST 2021","712","test","test_api","","","","修改日程-简单日程2-更该提醒设置更改时间",""
"passed","Fri Mar 19 13:32:38 CST 2021","Fri Mar 19 13:32:39 CST 2021","1407","test","test_api","","","","部门里添加一人作为无法删除的条件",""
"passed","Fri Mar 19 13:33:13 CST 2021","Fri Mar 19 13:33:13 CST 2021","747","test","test_api","","","","创建公众号-预添加选择部门",""
"broken","Fri Mar 19 13:34:18 CST 2021","Fri Mar 19 13:34:18 CST 2021","397","test","test_api","","","","代办卡片长文本-大号",""
"passed","Fri Mar 19 13:33:31 CST 2021","Fri Mar 19 13:33:31 CST 2021","119","test","test_api","","","","根据新创建的pytest获取8888的token",""
"broken","Fri Mar 19 13:33:45 CST 2021","Fri Mar 19 13:33:46 CST 2021","303","test","test_api","","","","发送可交互式消息-所有的控件",""
"passed","Fri Mar 19 13:32:37 CST 2021","Fri Mar 19 13:32:37 CST 2021","100","test","test_api","","","","缺少参数",""
"passed","Fri Mar 19 13:33:51 CST 2021","Fri Mar 19 13:33:52 CST 2021","104","test","test_api","","","","发送公众号接口 - 超过9个附件",""
"passed","Fri Mar 19 13:33:24 CST 2021","Fri Mar 19 13:33:24 CST 2021","595","test","test_api","","","","更改密码",""
"passed","Fri Mar 19 13:34:02 CST 2021","Fri Mar 19 13:34:03 CST 2021","820","test","test_api","","","","简单日程2-只提醒参与人(每个工作日重复)",""
"broken","Fri Mar 19 13:33:49 CST 2021","Fri Mar 19 13:33:49 CST 2021","1","test","test_api","","","","test.test_api#test_main",""
"passed","Fri Mar 19 13:32:43 CST 2021","Fri Mar 19 13:32:44 CST 2021","493","test","test_api","","","","获取成员详情 - 批量创建前",""
"passed","Fri Mar 19 13:33:33 CST 2021","Fri Mar 19 13:33:33 CST 2021","256","test","test_api","","","","发送可交互式消息-type：combox",""
"passed","Fri Mar 19 13:33:23 CST 2021","Fri Mar 19 13:33:23 CST 2021","114","test","test_api","","","","pwd配置",""
"broken","Fri Mar 19 13:34:17 CST 2021","Fri Mar 19 13:34:17 CST 2021","123","test","test_api","","","","应用6加入统一代办",""
"passed","Fri Mar 19 13:33:07 CST 2021","Fri Mar 19 13:33:08 CST 2021","1232","test","test_api","","","","创建一个普通群-普通成员",""
"passed","Fri Mar 19 13:33:35 CST 2021","Fri Mar 19 13:33:36 CST 2021","838","test","test_api","","","","创建部门可交互式部门1-成员1",""
"passed","Fri Mar 19 13:33:15 CST 2021","Fri Mar 19 13:33:16 CST 2021","702","test","test_api","","","","创建公众号全选",""
"passed","Fri Mar 19 13:33:58 CST 2021","Fri Mar 19 13:33:59 CST 2021","516","test","test_api","","","","简单日程2 -每周重复",""
"broken","Fri Mar 19 13:34:20 CST 2021","Fri Mar 19 13:34:20 CST 2021","389","test","test_api","","","","代办卡片短⽂本-右边对齐-中号",""
"passed","Fri Mar 19 13:33:26 CST 2021","Fri Mar 19 13:33:26 CST 2021","364","test","test_api","","","","删除公众号1",""
"passed","Fri Mar 19 13:33:52 CST 2021","Fri Mar 19 13:33:52 CST 2021","441","test","test_api","","","","发送公众号接口-测试删除公众号功能",""
"passed","Fri Mar 19 13:33:45 CST 2021","Fri Mar 19 13:33:45 CST 2021","269","test","test_api","","","","发送可交互式消息-link 超长超链接",""
"passed","Fri Mar 19 13:34:11 CST 2021","Fri Mar 19 13:34:12 CST 2021","251","test","test_api","","","","应用7中推送——text-样式2",""
"passed","Fri Mar 19 13:32:59 CST 2021","Fri Mar 19 13:32:59 CST 2021","227","test","test_api","","","","获取群成员 - 4",""
"failed","Fri Mar 19 13:34:09 CST 2021","Fri Mar 19 13:34:09 CST 2021","88","test","test_api","","","","将消息频道2与应用7的app结合",""
"passed","Fri Mar 19 13:33:52 CST 2021","Fri Mar 19 13:33:52 CST 2021","243","test","test_api","","","","删除公众号",""
"passed","Fri Mar 19 13:33:22 CST 2021","Fri Mar 19 13:33:22 CST 2021","365","test","test_api","","","","降低密码的等级为初始密码",""
"passed","Fri Mar 19 13:33:58 CST 2021","Fri Mar 19 13:33:58 CST 2021","715","test","test_api","","","","简单日程2-多个参与人",""
"passed","Fri Mar 19 13:33:30 CST 2021","Fri Mar 19 13:33:31 CST 2021","505","test","test_api","","","","获取CorpSecret",""
"passed","Fri Mar 19 13:33:44 CST 2021","Fri Mar 19 13:33:44 CST 2021","292","test","test_api","","","","发送可交互式消息-type：filepicker",""
"passed","Fri Mar 19 13:34:11 CST 2021","Fri Mar 19 13:34:11 CST 2021","338","test","test_api","","","","应用7中推送——radio",""
"passed","Fri Mar 19 13:34:14 CST 2021","Fri Mar 19 13:34:14 CST 2021","259","test","test_api","","","","应用7中推送——超长超链接",""
"passed","Fri Mar 19 13:33:17 CST 2021","Fri Mar 19 13:33:17 CST 2021","710","test","test_api","","","","创建公众号私密全选",""
"broken","Fri Mar 19 13:33:46 CST 2021","Fri Mar 19 13:33:46 CST 2021","270","test","test_api","","","","发送可交互式消息-所有的控件不带action",""
"failed","Fri Mar 19 13:33:32 CST 2021","Fri Mar 19 13:33:32 CST 2021","128","test","test_api","","","","发送语音",""
"passed","Fri Mar 19 13:33:30 CST 2021","Fri Mar 19 13:33:30 CST 2021","513","test","test_api","","","","获取8787 access_token",""
"passed","Fri Mar 19 13:33:19 CST 2021","Fri Mar 19 13:33:20 CST 2021","650","test","test_api","","","","获取组织列表信息查看对应appid",""
"passed","Fri Mar 19 13:34:03 CST 2021","Fri Mar 19 13:34:03 CST 2021","609","test","test_api","","","","修改日程-简单日程2-更改名字备注",""
"passed","Fri Mar 19 13:34:07 CST 2021","Fri Mar 19 13:34:07 CST 2021","715","test","test_api","","","","修改日程-简单日程2-设置为团队日程",""
"broken","Fri Mar 19 13:34:19 CST 2021","Fri Mar 19 13:34:19 CST 2021","349","test","test_api","","","","代办卡片短⽂本-居中-小号",""
"passed","Fri Mar 19 13:34:16 CST 2021","Fri Mar 19 13:34:16 CST 2021","276","test","test_api","","","","应用7中推送——datapicker",""
"passed","Fri Mar 19 13:33:50 CST 2021","Fri Mar 19 13:33:51 CST 2021","408","test","test_api","","","","发送公众号接口 - attachments,url",""
"passed","Fri Mar 19 13:33:54 CST 2021","Fri Mar 19 13:33:55 CST 2021","401","test","test_api","","","","创建日程-简单日程-重要日程",""
"broken","Fri Mar 19 13:33:52 CST 2021","Fri Mar 19 13:33:52 CST 2021","2","test","test_api","","","","test.test_api#test_main",""
"passed","Fri Mar 19 13:32:57 CST 2021","Fri Mar 19 13:32:58 CST 2021","230","test","test_api","","","","获取群成员 - 3",""
"passed","Fri Mar 19 13:32:49 CST 2021","Fri Mar 19 13:32:49 CST 2021","336","test","test_api","","","","删除部门",""
"passed","Fri Mar 19 13:34:04 CST 2021","Fri Mar 19 13:34:05 CST 2021","613","test","test_api","","","","修改日程-简单日程2-修改仅参与人可见",""
"broken","Fri Mar 19 13:32:49 CST 2021","Fri Mar 19 13:32:50 CST 2021","149","test","test_api","","","","删除创建的组织",""
"broken","Fri Mar 19 13:33:18 CST 2021","Fri Mar 19 13:33:19 CST 2021","718","test","test_api","","","","创建推送可交互的公众号",""
"passed","Fri Mar 19 13:33:46 CST 2021","Fri Mar 19 13:33:47 CST 2021","110","test","test_api","","","","先查询下目前所有的消息频道以及应用信息",""
"broken","Fri Mar 19 13:32:41 CST 2021","Fri Mar 19 13:32:41 CST 2021","1","test","test_api","","","","上传媒体文件-excel",""
"passed","Fri Mar 19 13:33:53 CST 2021","Fri Mar 19 13:33:54 CST 2021","612","test","test_api","","","","创建日程-简单日程 -多个参与人",""
"passed","Fri Mar 19 13:33:09 CST 2021","Fri Mar 19 13:33:10 CST 2021","504","test","test_api","","","","创建一个普通群2嵌套普通群1",""
"passed","Fri Mar 19 13:33:32 CST 2021","Fri Mar 19 13:33:33 CST 2021","268","test","test_api","","","","发送可交互式消息-type：radio",""
"passed","Fri Mar 19 13:33:10 CST 2021","Fri Mar 19 13:33:11 CST 2021","906","test","test_api","","","","创建一个嵌套群的部门管理员",""
"broken","Fri Mar 19 13:33:49 CST 2021","Fri Mar 19 13:33:49 CST 2021","3","test","test_api","","","","test.test_api#test_main",""
"passed","Fri Mar 19 13:32:50 CST 2021","Fri Mar 19 13:32:51 CST 2021","816","test","test_api","","","","创建群成员 - 成员2（成员）",""
"passed","Fri Mar 19 13:34:14 CST 2021","Fri Mar 19 13:34:15 CST 2021","257","test","test_api","","","","应用7中推送——complexpicker-样式2",""
"failed","Fri Mar 19 13:33:49 CST 2021","Fri Mar 19 13:33:49 CST 2021","257","test","test_api","","","","发送一条新建的频道消息（应用6-应用已经被删除）",""
"broken","Fri Mar 19 13:34:17 CST 2021","Fri Mar 19 13:34:18 CST 2021","518","test","test_api","","","","代办卡片长文本-小号",""
"broken","Fri Mar 19 13:32:47 CST 2021","Fri Mar 19 13:32:47 CST 2021","340","test","test_api","","","","删除成员 - 批量删除",""
"passed","Fri Mar 19 13:33:49 CST 2021","Fri Mar 19 13:33:49 CST 2021","116","test","test_api","","","","查询业务事件回调接口-应用5",""
"passed","Fri Mar 19 13:33:13 CST 2021","Fri Mar 19 13:33:14 CST 2021","684","test","test_api","","","","创建公众号-啥都不选",""
"passed","Fri Mar 19 13:32:55 CST 2021","Fri Mar 19 13:32:55 CST 2021","339","test","test_api","","","","添加群成员 - uid没给",""
"passed","Fri Mar 19 13:32:55 CST 2021","Fri Mar 19 13:32:56 CST 2021","390","test","test_api","","","","设置群成员⻆⾊ - 设置为群成员",""
"passed","Fri Mar 19 13:33:00 CST 2021","Fri Mar 19 13:33:00 CST 2021","291","test","test_api","","","","设置为群管理员",""
"passed","Fri Mar 19 13:32:58 CST 2021","Fri Mar 19 13:32:58 CST 2021","328","test","test_api","","","","获取用户的account(获取部门成员接口）",""
"passed","Fri Mar 19 13:34:09 CST 2021","Fri Mar 19 13:34:09 CST 2021","392","test","test_api","","","","应用7中推送一条消息频道消息-多组合",""
"passed","Fri Mar 19 13:33:06 CST 2021","Fri Mar 19 13:33:07 CST 2021","928","test","test_api","","","","添加成员test2-部门管理员",""
"failed","Fri Mar 19 13:33:48 CST 2021","Fri Mar 19 13:33:48 CST 2021","83","test","test_api","","","","删除频道2",""
"passed","Fri Mar 19 13:33:21 CST 2021","Fri Mar 19 13:33:22 CST 2021","507","test","test_api","","","","创建卡片--公众号5-全部",""
"passed","Fri Mar 19 13:34:10 CST 2021","Fri Mar 19 13:34:10 CST 2021","271","test","test_api","","","","应用7中推送一条消息频道消息-多组合 type：avatartype",""
"passed","Fri Mar 19 13:33:20 CST 2021","Fri Mar 19 13:33:20 CST 2021","510","test","test_api","","","","创建卡片-公众号2-长卡片",""
"passed","Fri Mar 19 13:32:44 CST 2021","Fri Mar 19 13:32:45 CST 2021","950","test","test_api","","","","删除成员",""
"passed","Fri Mar 19 13:33:04 CST 2021","Fri Mar 19 13:33:05 CST 2021","631","test","test_api","","","","超级管理员admin登陆",""
"passed","Fri Mar 19 13:32:42 CST 2021","Fri Mar 19 13:32:43 CST 2021","494","test","test_api","","","","更新成员",""
"passed","Fri Mar 19 13:33:02 CST 2021","Fri Mar 19 13:33:03 CST 2021","110","test","test_api","","","","登陆获取-trans_id",""
"passed","Fri Mar 19 13:33:33 CST 2021","Fri Mar 19 13:33:33 CST 2021","247","test","test_api","","","","发送可交互式消息-type：text",""
"passed","Fri Mar 19 13:33:03 CST 2021","Fri Mar 19 13:33:04 CST 2021","1674","test","test_api","","","","创建组织",""
"passed","Fri Mar 19 13:32:58 CST 2021","Fri Mar 19 13:32:58 CST 2021","91","test","test_api","","","","获取群列表 - 必填缺失",""
"passed","Fri Mar 19 13:34:05 CST 2021","Fri Mar 19 13:34:05 CST 2021","511","test","test_api","","","","修改日程-简单日程2-重要改成不重要",""
"passed","Fri Mar 19 13:32:50 CST 2021","Fri Mar 19 13:32:50 CST 2021","362","test","test_api","","","","创建群相关的依赖部门",""
"passed","Fri Mar 19 13:33:16 CST 2021","Fri Mar 19 13:33:17 CST 2021","709","test","test_api","","","","创建公众号全选2-子部门",""
"passed","Fri Mar 19 13:34:09 CST 2021","Fri Mar 19 13:34:10 CST 2021","271","test","test_api","","","","应用7中推送一条消息频道消息-多组合不带按钮",""
"passed","Fri Mar 19 13:33:05 CST 2021","Fri Mar 19 13:33:06 CST 2021","794","test","test_api","","","","添加成员test1-普通成员",""
"passed","Fri Mar 19 13:32:47 CST 2021","Fri Mar 19 13:32:47 CST 2021","257","test","test_api","","","","获取部门成员 - 批量创建后",""
"failed","Fri Mar 19 13:33:47 CST 2021","Fri Mar 19 13:33:48 CST 2021","87","test","test_api","","","","新建消息频道-3",""
"passed","Fri Mar 19 13:33:20 CST 2021","Fri Mar 19 13:33:21 CST 2021","510","test","test_api","","","","创建卡片-公众号3-设置卡片顶部",""
"passed","Fri Mar 19 13:33:33 CST 2021","Fri Mar 19 13:33:34 CST 2021","254","test","test_api","","","","发送可交互式消息-type：link",""
"passed","Fri Mar 19 13:32:42 CST 2021","Fri Mar 19 13:32:42 CST 2021","76","test","test_api","","","","创建成员 - 必填缺失",""
"passed","Fri Mar 19 13:33:55 CST 2021","Fri Mar 19 13:33:55 CST 2021","412","test","test_api","","","","创建日程-简单日程-提醒我与参与人参与(单个)",""
"passed","Fri Mar 19 13:32:51 CST 2021","Fri Mar 19 13:32:52 CST 2021","917","test","test_api","","","","创建群成员 - 成员3（成员）",""
"passed","Fri Mar 19 13:32:37 CST 2021","Fri Mar 19 13:32:37 CST 2021","76","test","test_api","","","","缺少参数",""
"passed","Fri Mar 19 13:32:41 CST 2021","Fri Mar 19 13:32:41 CST 2021","248","test","test_api","","","","获取部门详情",""
"passed","Fri Mar 19 13:33:48 CST 2021","Fri Mar 19 13:33:48 CST 2021","113","test","test_api","","","","查看有频道退出后的情况",""
"passed","Fri Mar 19 13:33:29 CST 2021","Fri Mar 19 13:33:29 CST 2021","421","test","test_api","","","","删除公众号4",""
"passed","Fri Mar 19 13:32:46 CST 2021","Fri Mar 19 13:32:46 CST 2021","288","test","test_api","","","","通过account获取⽤户id",""
"passed","Fri Mar 19 13:33:34 CST 2021","Fri Mar 19 13:33:35 CST 2021","269","test","test_api","","","","创建部门可交互式部门3",""
"failed","Fri Mar 19 13:33:32 CST 2021","Fri Mar 19 13:33:32 CST 2021","119","test","test_api","","","","发送文件-excel",""
"passed","Fri Mar 19 13:32:57 CST 2021","Fri Mar 19 13:32:57 CST 2021","362","test","test_api","","","","删除群成员",""
"passed","Fri Mar 19 13:32:58 CST 2021","Fri Mar 19 13:32:59 CST 2021","82","test","test_api","","","","获取群列表 - 参数缺失",""
"passed","Fri Mar 19 13:34:15 CST 2021","Fri Mar 19 13:34:15 CST 2021","261","test","test_api","","","","应用7中推送——userpicker-样式2",""
"passed","Fri Mar 19 13:32:37 CST 2021","Fri Mar 19 13:32:37 CST 2021","125","test","test_api","","","","正常登陆",""
"passed","Fri Mar 19 13:32:56 CST 2021","Fri Mar 19 13:32:56 CST 2021","259","test","test_api","","","","设置群成员⻆⾊ - type 类型没传",""
"passed","Fri Mar 19 13:32:40 CST 2021","Fri Mar 19 13:32:40 CST 2021","220","test","test_api","","","","递归获取所有子部门列表-新创建",""
"passed","Fri Mar 19 13:34:01 CST 2021","Fri Mar 19 13:34:02 CST 2021","812","test","test_api","","","","简单日程2-只提醒参与人(不重复)",""
"passed","Fri Mar 19 13:33:01 CST 2021","Fri Mar 19 13:33:02 CST 2021","613","test","test_api","","","","删除成员-删除群成员二号",""
"passed","Fri Mar 19 13:34:10 CST 2021","Fri Mar 19 13:34:11 CST 2021","269","test","test_api","","","","应用7中推送——非常多文字的布局测试 ""avatartype"": 1",""
"failed","Fri Mar 19 13:33:47 CST 2021","Fri Mar 19 13:33:47 CST 2021","80","test","test_api","","","","更新消息频道-1",""
"passed","Fri Mar 19 13:32:43 CST 2021","Fri Mar 19 13:32:43 CST 2021","231","test","test_api","","","","更新成员 - 用户不存在",""
"passed","Fri Mar 19 13:33:36 CST 2021","Fri Mar 19 13:33:37 CST 2021","718","test","test_api","","","","创建部门可交互式部门1-成员3",""
"broken","Fri Mar 19 13:34:18 CST 2021","Fri Mar 19 13:34:19 CST 2021","480","test","test_api","","","","代办卡片短⽂本-左对齐-小号",""
"passed","Fri Mar 19 13:33:25 CST 2021","Fri Mar 19 13:33:25 CST 2021","627","test","test_api","","","","更改密码",""
"passed","Fri Mar 19 13:33:21 CST 2021","Fri Mar 19 13:33:21 CST 2021","510","test","test_api","","","","创建卡片-公众号4-设置卡片看板入口",""
"passed","Fri Mar 19 13:33:27 CST 2021","Fri Mar 19 13:33:27 CST 2021","401","test","test_api","","","","删除公众号2",""
"passed","Fri Mar 19 13:33:42 CST 2021","Fri Mar 19 13:33:42 CST 2021","508","test","test_api","","","","创建可交互式测试群——群1",""
"passed","Fri Mar 19 13:32:53 CST 2021","Fri Mar 19 13:32:53 CST 2021","76","test","test_api","","","","创建群 - 必填缺失",""
"passed","Fri Mar 19 13:32:48 CST 2021","Fri Mar 19 13:32:48 CST 2021","399","test","test_api","","","","删除批量创建而产生的部门",""
"passed","Fri Mar 19 13:34:00 CST 2021","Fri Mar 19 13:34:01 CST 2021","795","test","test_api","","","","简单日程2-提醒我与参与人参与(多个)",""
"failed","Fri Mar 19 13:33:32 CST 2021","Fri Mar 19 13:33:32 CST 2021","115","test","test_api","","","","发送文件-mp4",""
"passed","Fri Mar 19 13:33:10 CST 2021","Fri Mar 19 13:33:10 CST 2021","864","test","test_api","","","","创建一个嵌套群的普通成员",""
"passed","Fri Mar 19 13:34:15 CST 2021","Fri Mar 19 13:34:16 CST 2021","269","test","test_api","","","","应用7中推送——filepicker-样式2",""
